pair,entry_date,exit_date,direction,entry_pos,entry_z,exit_z,n_days,trade_pnl,trade_id,dir_norm,action,reason,pnl_mult,pnl_conditioned
PAX-VINP,2026-01-05,2026-01-27,SHORT,-1.0,2.50133779715077,-0.1325553660056853,22,-0.2126996395750617,136,-1,BLOCK,earnings,0.0,-0.0
PAX-VINP,2026-05-13,2026-05-27,LONG,1.0,-2.025013356804728,-0.4019275327230076,14,0.3822620783327659,137,1,ALLOW,clear_allow,1.0,0.3822620783327659
NU-VLRS,2023-05-08,2023-08-31,SHORT,-1.0,3.0423803278757977,0.3924278523076029,115,-1.835973751585348,138,-1,BLOCK,earnings,0.0,-0.0
NU-VLRS,2023-09-28,2023-11-27,SHORT,-1.0,2.2812600859039476,0.3967615683236703,60,-0.940668050299079,139,-1,BLOCK,earnings,0.0,-0.0
NU-VLRS,2024-02-07,2024-04-15,SHORT,-1.0,2.069106297972663,0.3159874798357219,68,-1.9588423120108804,140,-1,BLOCK,earnings,0.0,-0.0
NU-VLRS,2024-06-21,2024-07-29,SHORT,-1.0,2.015185611073929,0.442951105547013,38,-0.1283166080924798,141,-1,BLOCK,earnings,0.0,-0.0
NU-VLRS,2024-08-15,2024-09-26,SHORT,-1.0,2.232811323353253,0.1940569090182331,42,-0.7815273838832368,142,-1,ALLOW,clear_allow,1.0,-0.7815273838832368
NU-VLRS,2024-11-18,2025-01-23,LONG,1.0,-2.2582772051950295,-0.4841070361393218,66,-1.9339574450075183,143,1,ALLOW,no_evidence_allow,1.0,-1.9339574450075183
NU-VLRS,2025-05-14,2025-05-29,SHORT,-1.0,2.1575352994740427,0.4734830728586845,15,1.3604981401516745,144,-1,ALLOW,clear_allow,1.0,1.3604981401516745
NU-VLRS,2025-09-08,2025-10-10,SHORT,-1.0,2.0898201931671267,0.3977703385980433,32,0.1379866095115054,145,-1,ALLOW,clear_allow,1.0,0.1379866095115054
NU-VLRS,2025-11-26,2025-12-16,SHORT,-1.0,2.79587618346861,-0.2143731823277988,20,0.800821581475397,146,-1,ALLOW,clear_allow,1.0,0.800821581475397
NU-VLRS,2026-01-27,2026-02-09,SHORT,-1.0,2.3464766515560695,-0.3112136732904979,13,1.4746669137750608,147,-1,BLOCK,earnings,0.0,0.0
NU-VLRS,2026-02-26,2026-04-13,LONG,1.0,-3.0418115860434387,-0.4573266910580054,46,0.3632093724578477,148,1,ALLOW,clear_allow,1.0,0.3632093724578477
NU-VLRS,2026-05-13,2026-05-29,LONG,1.0,-2.521699395720942,-1.65918377136149,16,0.0913085212847538,149,1,BLOCK,earnings,0.0,0.0
NU-PAX,2023-05-02,2023-07-14,SHORT,-1.0,2.595085179005908,0.4616638874720206,73,-1.508863389252193,150,-1,BLOCK,earnings,0.0,-0.0
NU-PAX,2023-10-11,2023-11-15,SHORT,-1.0,3.011466580744977,0.3438007116645702,35,-0.7354012429576715,151,-1,BLOCK,earnings,0.0,-0.0
NU-PAX,2023-12-27,2024-01-05,LONG,1.0,-2.121130330336426,-0.3718280583551434,9,1.1124495521733009,152,1,ALLOW,no_evidence_allow,1.0,1.1124495521733009
NU-PAX,2024-02-13,2024-02-20,SHORT,-1.0,2.2314955978943103,0.3874194450841228,7,1.3255309175831964,153,-1,BLOCK,earnings,0.0,0.0
NU-PAX,2024-05-02,2024-07-25,SHORT,-1.0,2.02511172687271,0.0652334463684961,84,-1.5586554163075697,154,-1,BLOCK,earnings,0.0,-0.0
NU-PAX,2024-08-14,2024-10-01,SHORT,-1.0,2.468760687110752,0.4841908395795491,48,-0.7956511806773476,155,-1,ALLOW,clear_allow,1.0,-0.7956511806773476
