trade_id,pair,entry_z,exit_z,n_days,trade_pnl,entry_stress,stress_band,halflife,reversion
37,MELI-NU,2.096596312671271,-2.071519355116813,4,202.96900568214448,2.096596312671271,stress,6.812048070720778,SLOW
38,MELI-NU,-2.071519355116813,-0.0765952052499235,7,134.81964700670693,2.071519355116813,stress,6.812048070720778,FAST
39,PAGS-VTEX,2.584205009820424,0.3230303763365669,42,-1.858010988565885,2.584205009820424,stress,7.470444606400153,FAST
40,PAGS-VTEX,-2.055050719447028,-0.4085752417903855,15,1.5392409899381136,2.055050719447028,stress,7.470444606400153,FAST
41,PAGS-VTEX,-2.1362964082293305,-0.3495086558532254,31,0.6641110302614777,2.1362964082293305,stress,7.470444606400153,FAST
42,PAGS-VTEX,-2.93822517411723,-0.0390491948144861,23,1.5639236230599312,2.93822517411723,stress,7.470444606400153,FAST
43,PAGS-VTEX,-2.124901196922126,-0.263470953175333,17,0.5291915873331918,2.124901196922126,stress,7.470444606400153,FAST
44,PAGS-VTEX,2.118262007196516,0.3112671146897016,34,1.0142868175753783,2.118262007196516,stress,7.470444606400153,FAST
45,PAGS-VTEX,2.002258959552594,0.0040976879454615,24,1.5434893406604864,2.002258959552594,stress,7.470444606400153,FAST
46,PAGS-VTEX,-2.034675463120045,-0.4636776479720993,75,-2.0794991156127507,2.034675463120045,stress,7.470444606400153,FAST
47,PAGS-VTEX,-2.210448501262846,-0.3244743309425807,5,0.165850314345459,2.210448501262846,stress,7.470444606400153,SLOW
48,PAGS-VTEX,-2.734218111690143,0.1036467459924401,7,0.3682819441115983,2.734218111690143,stress,7.470444606400153,SLOW
49,PAGS-VTEX,2.775502673842563,0.0619955460500444,71,-2.5935718364729943,2.775502673842563,stress,7.470444606400153,FAST
50,PAGS-VTEX,-2.676218582186964,-0.3971518099106583,28,0.3837737005727368,2.676218582186964,stress,7.470444606400153,FAST
51,PAGS-VTEX,5.345460201078466,0.4309590666645075,59,-0.626120121122526,5.345460201078466,extreme,7.470444606400153,FAST
52,PAGS-VTEX,2.0411778610028,0.3244431706679824,108,-2.6621956095235113,2.0411778610028,stress,7.470444606400153,FAST
53,CEPU-VIST,-2.006213786451842,-0.4292319834688414,26,0.2401457027397472,2.006213786451842,stress,8.716157989104026,FAST
54,CEPU-VIST,2.030107371110409,0.4628468206503328,22,0.0180832250769398,2.030107371110409,stress,8.716157989104026,FAST
55,CEPU-VIST,-2.009909877183534,-0.2864278077334738,45,0.032052021818403,2.009909877183534,stress,8.716157989104026,FAST
56,CEPU-VIST,-2.2148464260961687,-0.4829664080735473,33,-0.5076317790229927,2.2148464260961687,stress,8.716157989104026,FAST
57,CEPU-VIST,2.0629732993811296,-0.0050060961652058,72,-1.3129535980493574,2.0629732993811296,stress,8.716157989104026,FAST
58,CEPU-VIST,-2.0526034057697258,-0.432697325925424,37,-0.2242753399853299,2.0526034057697258,stress,8.716157989104026,FAST
59,CEPU-VIST,-2.025905228142028,-0.2986749267523088,71,-0.730913008019483,2.025905228142028,stress,8.716157989104026,FAST
60,CEPU-VIST,2.118009396614726,0.3845591973780521,13,0.5037723396271159,2.118009396614726,stress,8.716157989104026,FAST
61,CEPU-VIST,2.2037086194378297,0.159411703733163,67,-1.4850318269703395,2.2037086194378297,stress,8.716157989104026,FAST
62,CEPU-VIST,-2.1396620790364875,0.0348756265523962,15,0.1719551957174994,2.1396620790364875,stress,8.716157989104026,FAST
63,CEPU-VIST,2.2735514161177797,0.1101048808002932,13,0.6058311516461872,2.2735514161177797,stress,8.716157989104026,FAST
64,CEPU-VIST,2.0811373200346006,0.4311193807650408,12,0.7361255655247269,2.0811373200346006,stress,8.716157989104026,FAST
65,CEPU-VIST,-2.0155784859750323,-0.4889372910627847,25,0.1707040840424394,2.0155784859750323,stress,8.716157989104026,FAST
66,CEPU-VIST,2.114814431571069,0.3450001292409683,76,-2.2201004693267112,2.114814431571069,stress,8.716157989104026,FAST
67,CEPU-VIST,-2.2790213660369596,-0.1487621709340576,36,-0.2767513356276012,2.2790213660369596,stress,8.716157989104026,FAST
68,CEPU-VIST,-2.098508761851391,-0.4934033154556875,28,0.1076496438877052,2.098508761851391,stress,8.716157989104026,FAST
69,NU-XP,2.0426409897274596,0.0250410524157882,3,0.19709810491339,2.0426409897274596,stress,8.81502149616581,SLOW
70,NU-XP,-2.674978860208873,-0.221735260664195,7,0.560741028585379,2.674978860208873,stress,8.81502149616581,SLOW
71,NU-XP,-2.743741482181311,-0.4001507711841449,26,0.1685792582698432,2.743741482181311,stress,8.81502149616581,FAST
72,NU-XP,-2.533056999594224,-0.4938073040193372,30,0.6320920008362453,2.533056999594224,stress,8.81502149616581,FAST
73,NU-XP,2.4918644335159756,0.46649768239889,35,-0.8543719692593241,2.4918644335159756,stress,8.81502149616581,FAST
74,NU-XP,2.0969420076827814,0.4828063711316439,171,-4.8452863380281475,2.0969420076827814,stress,8.81502149616581,FAST
75,NU-XP,2.0218415845224125,0.4488879647587848,38,-1.0558588585119886,2.0218415845224125,stress,8.81502149616581,FAST
