pair,entry_date,exit_date,direction,entry_pos,entry_z,exit_z,n_days,trade_pnl
NU-PAX,2025-11-18,2025-11-25,LONG,1.0,-2.2763159681163034,2.6795323254228176,7,1.0732168108307862
NU-PAX,2025-11-25,2025-12-05,SHORT,-1.0,2.6795323254228176,-0.012687447465640695,10,0.9353093975130254
NU-PAX,2025-12-10,2026-01-23,LONG,1.0,-2.2315137211965066,-0.49257973357949913,44,-0.22962615251552543
NU-PAX,2026-01-28,2026-02-26,SHORT,-1.0,2.2736019743304983,0.15612540435554534,29,-0.341876529309609
CX-NU,2023-04-12,2023-05-22,SHORT,-1.0,2.381414385658486,0.01049274358411445,40,0.013250058629932115
CX-NU,2023-08-07,2023-09-07,SHORT,-1.0,2.0670609501019204,0.4109147458584245,31,-0.10674094492106789
CX-NU,2023-10-05,2023-11-08,LONG,1.0,-2.4519128330439592,-0.3924654184019976,34,0.3817391471608116
CX-NU,2023-12-14,2024-01-16,SHORT,-1.0,2.3141795984073106,0.02325329261157219,33,0.32146641489502176
CX-NU,2024-02-29,2024-03-26,LONG,1.0,-2.0167091115872817,-0.14792337067466113,26,0.487411445085572
CX-NU,2024-05-07,2024-08-01,LONG,1.0,-2.144257071185709,-0.46739860879318007,86,-1.3992312361511043
CX-NU,2024-08-26,2024-09-26,LONG,1.0,-2.039768082834707,-0.017533024793688467,31,-0.014427597021205996
CX-NU,2024-10-28,2024-11-18,LONG,1.0,-2.41101382922997,-0.183471471793523,21,0.5702677069266744
CX-NU,2025-02-21,2025-03-14,SHORT,-1.0,2.7189182395331652,0.16840146104096793,21,0.5979070239209923
CX-NU,2025-05-21,2025-06-24,SHORT,-1.0,2.2767516361757263,0.057370704251293494,34,0.33000396299640977
CX-NU,2025-07-21,2025-09-10,SHORT,-1.0,2.047594881821607,0.3014221299151388,51,-0.6309975358344702
CX-NU,2025-10-28,2026-03-03,SHORT,-1.0,2.0264386423904397,0.33643727188275463,126,-2.1793823694528016
CX-NU,2026-04-23,2026-05-29,SHORT,-1.0,2.5089716170753524,1.5059558941544149,36,-1.1194885595694533
DLO-VTEX,2023-03-31,2023-04-05,SHORT,-1.0,2.258363282888993,-4.2342238123002645,5,-0.8364991654414267
DLO-VTEX,2023-04-05,2023-04-21,LONG,1.0,-4.2342238123002645,-0.31249509333019815,16,5.236184371692468
DLO-VTEX,2023-05-04,2023-05-08,LONG,1.0,-2.102361936932185,-0.33998662662547474,4,0.5327164245425965
DLO-VTEX,2023-05-26,2023-07-12,LONG,1.0,-3.5544991346511483,-0.3292091270272802,47,0.4986699056704147
DLO-VTEX,2023-08-16,2023-10-06,SHORT,-1.0,4.690966907810558,0.4809290772302003,51,1.7516552280914182
DLO-VTEX,2023-11-10,2024-02-15,LONG,1.0,-2.3294076705159945,-0.4803660829747945,97,-2.233472624625529
DLO-VTEX,2024-03-07,2024-03-18,LONG,1.0,-2.334577315883401,-0.42983112911147914,11,1.7927667284962672
DLO-VTEX,2024-03-19,2024-04-04,LONG,1.0,-2.296799789368259,-0.25083106563586444,16,1.5002154853719067
DLO-VTEX,2024-05-15,2024-07-29,LONG,1.0,-3.8794904060329287,-0.2601441045492823,75,-1.1269048533926678
DLO-VTEX,2024-09-10,2024-09-19,SHORT,-1.0,2.0995333821605935,-0.07626191554185832,9,0.4979361190821117
DLO-VTEX,2024-11-12,2025-02-20,SHORT,-1.0,2.279494287487416,0.2614200876101929,100,-3.63145014882942
DLO-VTEX,2025-02-26,2025-02-28,SHORT,-1.0,5.267242579058612,-0.3847648888044564,2,0.26959454859819915
DLO-VTEX,2025-03-28,2025-05-15,LONG,1.0,-2.045225390653487,-0.07887179669953304,48,-0.26346485295877886
DLO-VTEX,2025-08-08,2025-10-10,SHORT,-1.0,4.566302453570791,0.48966500770647436,63,-3.4701321860896304
DLO-VTEX,2025-11-20,2025-12-08,LONG,1.0,-2.1550300536532965,-0.44246590497633836,18,0.7936788830832602
DLO-VTEX,2026-01-06,2026-02-03,SHORT,-1.0,2.301202360473849,0.3723118045403951,28,0.6370430513218128
DLO-VTEX,2026-03-03,2026-04-10,LONG,1.0,-2.4182958259050102,-0.4148504471394378,38,0.32315292098258797
DLO-MELI,2023-04-14,2023-05-04,LONG,1.0,-2.031175000346721,-0.45621193554242495,20,0.40801165874975753
DLO-MELI,2023-06-02,2023-06-08,LONG,1.0,-2.011446905916642,-0.28430137792544885,6,2.054588334203012
DLO-MELI,2023-07-10,2023-08-10,SHORT,-1.0,3.08891315687287,-2.320805252300208,31,6.789914218176986
DLO-MELI,2023-08-10,2023-08-15,LONG,1.0,-2.320805252300208,0.19203420675807562,5,6.252836127397925
DLO-MELI,2023-08-16,2023-09-01,SHORT,-1.0,2.4760109684249954,0.10626874511971335,16,3.1333224777935103
DLO-MELI,2023-11-14,2024-02-23,LONG,1.0,-2.1769078978588197,0.03172170440693108,101,-15.119467251742645
DLO-MELI,2024-05-08,2024-07-18,LONG,1.0,-2.0431541627859398,-0.4056799714608594,71,-3.836557551666014
DLO-MELI,2024-08-02,2024-10-02,LONG,1.0,-2.4042269695495553,-0.33204871369307465,61,-8.638574735976421
DLO-MELI,2024-11-07,2024-11-25,SHORT,-1.0,4.061834870890086,-0.014702380504823295,18,5.131575295172284
DLO-MELI,2024-12-09,2025-01-28,SHORT,-1.0,2.5189610018837993,0.2766093318969033,50,-0.6171269451799279
DLO-MELI,2025-02-21,2025-03-31,LONG,1.0,-2.845807083156835,-0.40044588958283106,38,2.896687287328092
DLO-MELI,2025-04-29,2025-06-11,LONG,1.0,-2.3835176276781502,-0.4425322907762077,43,-2.1459557766059874
DLO-MELI,2025-08-14,2025-08-28,SHORT,-1.0,2.8140738386113173,0.4462986834003704,14,3.8762239137248766
DLO-MELI,2025-10-01,2025-10-29,SHORT,-1.0,3.394366596919619,0.4505675253501163,28,2.239450425423116
DLO-MELI,2026-02-25,2026-04-13,SHORT,-1.0,2.989689083636236,0.4499049325556064,47,-0.36155768927267307
DLO-MELI,2026-05-11,2026-05-27,SHORT,-1.0,2.2323856168462157,0.05580375200043312,16,4.444196123312368
ASR-CAAP,2023-04-17,2023-05-26,LONG,1.0,-2.5099341769739456,-0.3797932900530304,39,-7.6564263972123925
ASR-CAAP,2023-07-10,2023-10-04,LONG,1.0,-2.6551719805274754,-0.27436237520739515,86,-34.994218211224364
ASR-CAAP,2023-10-05,2023-10-16,LONG,1.0,-2.4275734476793804,-0.30589034218502326,11,18.60766358985762
ASR-CAAP,2023-10-31,2023-11-10,SHORT,-1.0,2.1337017610272127,0.3390538418755937,10,14.065776928514705
ASR-CAAP,2023-11-27,2023-12-14,LONG,1.0,-3.2530547569961645,0.1536420432951458,17,-3.8436105140461443
ASR-CAAP,2024-02-16,2024-03-20,SHORT,-1.0,2.280414074267659,0.46391776972051607,33,4.175907721750351
ASR-CAAP,2024-05-28,2024-06-20,LONG,1.0,-2.5376542125965686,-0.2568432271500686,23,11.759078907977784
ASR-CAAP,2024-08-06,2024-08-09,SHORT,-1.0,2.3775525027202393,0.16848309627144342,3,10.310842289783675
ASR-CAAP,2024-09-12,2024-11-21,LONG,1.0,-2.463775862652865,-0.4839270947047795,70,-56.20844614027814
ASR-CAAP,2024-12-12,2024-12-18,LONG,1.0,-2.0286508302138637,-0.22968900570799677,6,9.915196645358261
ASR-CAAP,2025-02-11,2025-03-12,SHORT,-1.0,2.0270117123597298,0.44863742365804526,29,1.9039027008078815
ASR-CAAP,2025-03-14,2025-05-08,SHORT,-1.0,2.066412352163292,0.3345471409692717,55,-9.006432475982113
ASR-CAAP,2025-08-21,2025-08-25,LONG,1.0,-2.184849493153323,-0.09456319796828673,4,9.744937784725378
ASR-CAAP,2025-09-08,2025-11-28,SHORT,-1.0,4.4533985712840805,-2.171931866809812,81,92.38385167657164
ASR-CAAP,2025-11-28,2026-01-15,LONG,1.0,-2.171931866809812,-0.4979409729476005,48,29.65503118899509
ASR-CAAP,2026-01-29,2026-02-04,LONG,1.0,-2.280009086185217,-0.48231452039263883,6,30.159834545459823
ASR-CAAP,2026-03-06,2026-04-10,SHORT,-1.0,2.060062837905107,0.17523422182386833,35,6.143066077580116
